instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,daylight_hrs
3001,2011-05-09,2,0,5,22,False,1,True,1,0.52,0.5,0.68,0.0896,21,95,116,14.34
3002,2011-05-09,2,0,5,23,False,1,True,1,0.5,0.4848,0.68,0.0896,16,45,61,14.34
3003,2011-05-10,2,0,5,0,False,2,True,1,0.48,0.4697,0.63,0.0,6,12,18,14.34
3004,2011-05-10,2,0,5,1,False,2,True,1,0.46,0.4545,0.59,0.0896,3,12,15,14.34
3005,2011-05-10,2,0,5,2,False,2,True,1,0.44,0.4394,0.58,0.1343,1,4,5,14.34
3006,2011-05-10,2,0,5,3,False,2,True,1,0.44,0.4394,0.54,0.194,1,3,4,14.34
3007,2011-05-10,2,0,5,4,False,2,True,1,0.42,0.4242,0.62,0.2537,0,2,2,14.34
3008,2011-05-10,2,0,5,5,False,2,True,1,0.4,0.4091,0.66,0.2239,1,28,29,14.34
3009,2011-05-10,2,0,5,6,False,2,True,1,0.42,0.4242,0.67,0.1343,9,103,112,14.34
3010,2011-05-10,2,0,5,7,False,2,True,2,0.44,0.4394,0.62,0.1343,13,301,314,14.34
3011,2011-05-10,2,0,5,8,False,2,True,2,0.5,0.4848,0.51,0.1045,28,397,425,14.34
3012,2011-05-10,2,0,5,9,False,2,True,2,0.52,0.5,0.48,0.1045,29,176,205,14.34
3013,2011-05-10,2,0,5,10,False,2,True,2,0.56,0.5303,0.37,0.0896,27,100,127,14.34
3014,2011-05-10,2,0,5,11,False,2,True,2,0.56,0.5303,0.43,0.1343,17,108,125,14.34
3015,2011-05-10,2,0,5,12,False,2,True,2,0.6,0.6212,0.38,0.0,47,170,217,14.34
3016,2011-05-10,2,0,5,13,False,2,True,2,0.62,0.6212,0.38,0.2537,50,152,202,14.34
3017,2011-05-10,2,0,5,14,False,2,True,2,0.62,0.6212,0.33,0.0,42,134,176,14.34
3018,2011-05-10,2,0,5,15,False,2,True,2,0.64,0.6212,0.33,0.0896,28,152,180,14.34
3019,2011-05-10,2,0,5,16,False,2,True,1,0.66,0.6212,0.31,0.1045,56,271,327,14.34
3020,2011-05-10,2,0,5,17,False,2,True,1,0.64,0.6212,0.33,0.0,79,532,611,14.34
3021,2011-05-10,2,0,5,18,False,2,True,1,0.64,0.6212,0.29,0.1343,70,480,550,14.34
3022,2011-05-10,2,0,5,19,False,2,True,1,0.6,0.6212,0.43,0.2239,69,365,434,14.34
3023,2011-05-10,2,0,5,20,False,2,True,1,0.54,0.5152,0.6,0.1343,50,241,291,14.34
3024,2011-05-10,2,0,5,21,False,2,True,1,0.54,0.5152,0.52,0.0,30,173,203,14.34
3025,2011-05-10,2,0,5,22,False,2,True,1,0.52,0.5,0.55,0.1045,29,121,150,14.34
3026,2011-05-10,2,0,5,23,False,2,True,2,0.52,0.5,0.59,0.1343,9,72,81,14.34
3027,2011-05-11,2,0,5,0,False,3,True,2,0.52,0.5,0.55,0.1343,8,30,38,14.34
3028,2011-05-11,2,0,5,1,False,3,True,2,0.5,0.4848,0.59,0.1045,4,16,20,14.34
3029,2011-05-11,2,0,5,2,False,3,True,1,0.52,0.5,0.59,0.0,6,4,10,14.34
3030,2011-05-11,2,0,5,3,False,3,True,1,0.5,0.4848,0.63,0.2239,0,3,3,14.34
3031,2011-05-11,2,0,5,4,False,3,True,2,0.48,0.4697,0.88,0.1343,0,2,2,14.34
3032,2011-05-11,2,0,5,5,False,3,True,1,0.46,0.4545,0.88,0.1343,0,20,20,14.34
3033,2011-05-11,2,0,5,6,False,3,True,1,0.46,0.4545,0.82,0.1343,6,93,99,14.34
3034,2011-05-11,2,0,5,7,False,3,True,1,0.48,0.4697,0.72,0.194,25,293,318,14.34
3035,2011-05-11,2,0,5,8,False,3,True,1,0.48,0.4697,0.77,0.2537,21,421,442,14.34
3036,2011-05-11,2,0,5,9,False,3,True,1,0.52,0.5,0.72,0.1343,21,182,203,14.34
3037,2011-05-11,2,0,5,10,False,3,True,1,0.54,0.5152,0.68,0.0896,30,124,154,14.34
3038,2011-05-11,2,0,5,11,False,3,True,1,0.56,0.5303,0.64,0.0896,18,123,141,14.34
3039,2011-05-11,2,0,5,12,False,3,True,1,0.6,0.6212,0.56,0.0,41,185,226,14.34
3040,2011-05-11,2,0,5,13,False,3,True,1,0.62,0.6212,0.5,0.0,36,157,193,14.34
3041,2011-05-11,2,0,5,14,False,3,True,1,0.62,0.6212,0.53,0.0896,36,141,177,14.34
3042,2011-05-11,2,0,5,15,False,3,True,1,0.64,0.6212,0.41,0.0,48,131,179,14.34
3043,2011-05-11,2,0,5,16,False,3,True,1,0.66,0.6212,0.39,0.0,49,240,289,14.34
3044,2011-05-11,2,0,5,17,False,3,True,1,0.64,0.6212,0.47,0.1045,17,242,259,14.34
3045,2011-05-11,2,0,5,18,False,3,True,1,0.62,0.6212,0.5,0.2985,40,234,274,14.34
3046,2011-05-11,2,0,5,19,False,3,True,1,0.56,0.5303,0.52,0.1343,60,341,401,14.34
3047,2011-05-11,2,0,5,20,False,3,True,1,0.54,0.5152,0.64,0.1343,28,245,273,14.34
3048,2011-05-11,2,0,5,21,False,3,True,1,0.54,0.5152,0.6,0.0,32,202,234,14.34
3049,2011-05-11,2,0,5,22,False,3,True,1,0.5,0.4848,0.72,0.2537,12,134,146,14.34
3050,2011-05-11,2,0,5,23,False,3,True,1,0.46,0.4545,0.88,0.2537,12,69,81,14.34
3051,2011-05-12,2,0,5,0,False,4,True,2,0.46,0.4545,0.88,0.2239,5,39,44,14.34
3052,2011-05-12,2,0,5,1,False,4,True,1,0.46,0.4545,0.88,0.2239,1,16,17,14.34
3053,2011-05-12,2,0,5,2,False,4,True,1,0.44,0.4394,0.94,0.194,1,14,15,14.34
3054,2011-05-12,2,0,5,3,False,4,True,1,0.44,0.4394,0.88,0.1343,0,5,5,14.34
3055,2011-05-12,2,0,5,4,False,4,True,1,0.42,0.4242,0.94,0.0,1,5,6,14.34
3056,2011-05-12,2,0,5,5,False,4,True,1,0.42,0.4242,0.94,0.1343,2,27,29,14.34
3057,2011-05-12,2,0,5,6,False,4,True,1,0.44,0.4394,0.88,0.0,9,103,112,14.34
3058,2011-05-12,2,0,5,7,False,4,True,1,0.46,0.4545,0.88,0.1343,14,283,297,14.34
3059,2011-05-12,2,0,5,8,False,4,True,1,0.48,0.4697,0.82,0.194,27,394,421,14.34
3060,2011-05-12,2,0,5,9,False,4,True,2,0.5,0.4848,0.77,0.2836,21,191,212,14.34
3061,2011-05-12,2,0,5,10,False,4,True,2,0.54,0.5152,0.68,0.2239,28,119,147,14.34
3062,2011-05-12,2,0,5,11,False,4,True,1,0.58,0.5455,0.6,0.2239,43,136,179,14.34
3063,2011-05-12,2,0,5,12,False,4,True,1,0.58,0.5455,0.6,0.2239,43,164,207,14.34
3064,2011-05-12,2,0,5,13,False,4,True,2,0.62,0.6212,0.57,0.2985,48,170,218,14.34
3065,2011-05-12,2,0,5,14,False,4,True,2,0.62,0.6061,0.61,0.2239,43,148,191,14.34
3066,2011-05-12,2,0,5,15,False,4,True,2,0.64,0.6212,0.53,0.2537,54,163,217,14.34
3067,2011-05-12,2,0,5,16,False,4,True,2,0.64,0.6212,0.57,0.2537,50,238,288,14.34
3068,2011-05-12,2,0,5,17,False,4,True,2,0.64,0.6212,0.57,0.194,54,540,594,14.34
3069,2011-05-12,2,0,5,18,False,4,True,1,0.62,0.6061,0.69,0.2239,64,463,527,14.34
3070,2011-05-12,2,0,5,19,False,4,True,2,0.6,0.6061,0.64,0.194,59,305,364,14.34
3071,2011-05-12,2,0,5,20,False,4,True,1,0.6,0.6061,0.64,0.194,56,220,276,14.34
3072,2011-05-12,2,0,5,21,False,4,True,1,0.56,0.5303,0.83,0.1343,31,192,223,14.34
3073,2011-05-12,2,0,5,22,False,4,True,1,0.54,0.5152,0.83,0.194,25,147,172,14.34
3074,2011-05-12,2,0,5,23,False,4,True,2,0.54,0.5152,0.77,0.194,16,87,103,14.34
3075,2011-05-13,2,0,5,0,False,5,True,2,0.52,0.5,0.83,0.1642,6,46,52,14.34
3076,2011-05-13,2,0,5,1,False,5,True,1,0.52,0.5,0.83,0.1642,5,15,20,14.34
3077,2011-05-13,2,0,5,2,False,5,True,2,0.5,0.4848,0.88,0.1343,3,8,11,14.34
3078,2011-05-13,2,0,5,3,False,5,True,2,0.5,0.4848,0.88,0.1343,2,2,4,14.34
3079,2011-05-13,2,0,5,4,False,5,True,3,0.5,0.4848,0.88,0.1642,2,3,5,14.34
3080,2011-05-13,2,0,5,5,False,5,True,2,0.5,0.4848,0.88,0.194,1,24,25,14.34
3081,2011-05-13,2,0,5,6,False,5,True,3,0.5,0.4848,0.88,0.1343,6,76,82,14.34
3082,2011-05-13,2,0,5,7,False,5,True,3,0.5,0.4848,0.88,0.1642,16,141,157,14.34
3083,2011-05-13,2,0,5,8,False,5,True,2,0.5,0.4848,0.88,0.194,26,361,387,14.34
3084,2011-05-13,2,0,5,9,False,5,True,2,0.5,0.4848,0.88,0.194,18,215,233,14.34
3085,2011-05-13,2,0,5,10,False,5,True,2,0.52,0.5,0.83,0.1343,31,99,130,14.34
3086,2011-05-13,2,0,5,11,False,5,True,2,0.52,0.5,0.83,0.1642,56,90,146,14.34
3087,2011-05-13,2,0,5,12,False,5,True,2,0.52,0.5,0.88,0.194,53,170,223,14.34
3088,2011-05-13,2,0,5,13,False,5,True,2,0.52,0.5,0.88,0.3881,69,157,226,14.34
3089,2011-05-13,2,0,5,14,False,5,True,2,0.52,0.5,0.87,0.2836,70,120,190,14.34
3090,2011-05-13,2,0,5,15,False,5,True,2,0.52,0.5,0.88,0.1642,56,142,198,14.34
3091,2011-05-13,2,0,5,16,False,5,True,2,0.52,0.5,0.88,0.1343,44,256,300,14.34
3092,2011-05-13,2,0,5,17,False,5,True,3,0.52,0.5,0.88,0.1642,62,429,491,14.34
3093,2011-05-13,2,0,5,18,False,5,True,3,0.52,0.5,0.88,0.1642,39,359,398,14.34
3094,2011-05-13,2,0,5,19,False,5,True,2,0.52,0.5,0.83,0.194,25,245,270,14.34
3095,2011-05-13,2,0,5,20,False,5,True,2,0.52,0.5,0.83,0.1343,22,130,152,14.34
3096,2011-05-13,2,0,5,21,False,5,True,2,0.52,0.5,0.84,0.1642,24,130,154,14.34
3097,2011-05-13,2,0,5,22,False,5,True,2,0.52,0.5,0.83,0.2239,25,107,132,14.34
3098,2011-05-13,2,0,5,23,False,5,True,3,0.5,0.4848,0.88,0.1642,31,88,119,14.34
3099,2011-05-14,2,0,5,0,False,6,False,2,0.5,0.4848,0.88,0.1343,24,78,102,14.34
3100,2011-05-14,2,0,5,1,False,6,False,2,0.5,0.4848,0.88,0.1343,18,64,82,14.34
3101,2011-05-14,2,0,5,2,False,6,False,2,0.5,0.4848,0.88,0.1343,15,37,52,14.34
3102,2011-05-14,2,0,5,3,False,6,False,2,0.5,0.4848,0.88,0.1343,5,30,35,14.34
3103,2011-05-14,2,0,5,4,False,6,False,2,0.5,0.4848,0.82,0.1642,1,4,5,14.34
3104,2011-05-14,2,0,5,5,False,6,False,2,0.5,0.4848,0.82,0.1045,7,7,14,14.34
3105,2011-05-14,2,0,5,6,False,6,False,2,0.5,0.4848,0.88,0.1045,2,9,11,14.34
3106,2011-05-14,2,0,5,7,False,6,False,3,0.48,0.4697,1.0,0.0,4,28,32,14.34
3107,2011-05-14,2,0,5,8,False,6,False,3,0.5,0.4848,0.94,0.0,16,72,88,14.34
3108,2011-05-14,2,0,5,9,False,6,False,2,0.52,0.5,0.94,0.0896,14,86,100,14.34
3109,2011-05-14,2,0,5,10,False,6,False,2,0.52,0.5,0.94,0.1642,34,133,167,14.34
3110,2011-05-14,2,0,5,11,False,6,False,2,0.52,0.5,0.94,0.1343,72,207,279,14.34
3111,2011-05-14,2,0,5,12,False,6,False,3,0.52,0.5,1.0,0.0896,75,204,279,14.34
3112,2011-05-14,2,0,5,13,False,6,False,3,0.52,0.5,1.0,0.0896,68,180,248,14.34
3113,2011-05-14,2,0,5,14,False,6,False,2,0.54,0.5152,0.94,0.1343,57,159,216,14.34
3114,2011-05-14,2,0,5,15,False,6,False,2,0.54,0.5152,0.94,0.1642,73,221,294,14.34
3115,2011-05-14,2,0,5,16,False,6,False,2,0.54,0.5152,0.94,0.194,107,188,295,14.34
3116,2011-05-14,2,0,5,17,False,6,False,2,0.56,0.5303,0.88,0.194,78,194,272,14.34
3117,2011-05-14,2,0,5,18,False,6,False,2,0.56,0.5303,0.88,0.2239,88,216,304,14.34
3118,2011-05-14,2,0,5,19,False,6,False,3,0.54,0.5152,0.94,0.1343,69,179,248,14.34
3119,2011-05-14,2,0,5,20,False,6,False,3,0.54,0.5152,0.94,0.1343,42,115,157,14.34
3120,2011-05-14,2,0,5,21,False,6,False,3,0.54,0.5152,0.94,0.2239,15,44,59,14.34
3121,2011-05-14,2,0,5,22,False,6,False,3,0.54,0.5152,0.94,0.1642,7,19,26,14.34
3122,2011-05-14,2,0,5,23,False,6,False,3,0.52,0.5,1.0,0.194,11,33,44,14.34
3123,2011-05-15,2,0,5,0,False,0,False,2,0.52,0.5,1.0,0.0,5,34,39,14.34
3124,2011-05-15,2,0,5,1,False,0,False,2,0.52,0.5,1.0,0.1045,4,43,47,14.34
3125,2011-05-15,2,0,5,2,False,0,False,2,0.52,0.5,1.0,0.1343,13,37,50,14.34
3126,2011-05-15,2,0,5,3,False,0,False,2,0.52,0.5,1.0,0.0,11,21,32,14.34
3127,2011-05-15,2,0,5,4,False,0,False,2,0.52,0.5,1.0,0.0,5,8,13,14.34
3128,2011-05-15,2,0,5,5,False,0,False,3,0.52,0.5,1.0,0.1045,3,11,14,14.34
3129,2011-05-15,2,0,5,6,False,0,False,2,0.52,0.5,1.0,0.1343,3,14,17,14.34
3130,2011-05-15,2,0,5,7,False,0,False,2,0.52,0.5,1.0,0.1343,4,38,42,14.34
3131,2011-05-15,2,0,5,8,False,0,False,2,0.54,0.5152,0.94,0.1343,24,46,70,14.34
3132,2011-05-15,2,0,5,9,False,0,False,1,0.58,0.5455,0.83,0.2537,36,98,134,14.34
3133,2011-05-15,2,0,5,10,False,0,False,1,0.58,0.5455,0.83,0.2239,73,153,226,14.34
3134,2011-05-15,2,0,5,11,False,0,False,1,0.6,0.5758,0.78,0.2239,120,202,322,14.34
3135,2011-05-15,2,0,5,12,False,0,False,1,0.62,0.5909,0.73,0.2985,120,247,367,14.34
3136,2011-05-15,2,0,5,13,False,0,False,1,0.62,0.5909,0.73,0.2836,195,261,456,14.34
3137,2011-05-15,2,0,5,14,False,0,False,1,0.64,0.6061,0.73,0.194,183,254,437,14.34
3138,2011-05-15,2,0,5,15,False,0,False,1,0.66,0.6212,0.69,0.2537,206,253,459,14.34
3139,2011-05-15,2,0,5,16,False,0,False,1,0.64,0.6061,0.69,0.2537,158,282,440,14.34
3140,2011-05-15,2,0,5,17,False,0,False,3,0.56,0.5303,0.78,0.3582,137,255,392,14.34
3141,2011-05-15,2,0,5,18,False,0,False,1,0.56,0.5303,0.78,0.2537,60,177,237,14.34
3142,2011-05-15,2,0,5,19,False,0,False,1,0.56,0.5303,0.83,0.1045,78,153,231,14.34
3143,2011-05-15,2,0,5,20,False,0,False,1,0.54,0.5152,0.88,0.0,53,138,191,14.34
3144,2011-05-15,2,0,5,21,False,0,False,1,0.54,0.5152,0.88,0.0,44,107,151,14.34
3145,2011-05-15,2,0,5,22,False,0,False,1,0.56,0.5303,0.83,0.0,29,88,117,14.34
3146,2011-05-15,2,0,5,23,False,0,False,1,0.54,0.5152,0.88,0.2239,18,51,69,14.34
3147,2011-05-16,2,0,5,0,False,1,True,1,0.52,0.5,0.94,0.1045,17,21,38,14.34
3148,2011-05-16,2,0,5,1,False,1,True,1,0.52,0.5,0.94,0.1343,6,8,14,14.34
3149,2011-05-16,2,0,5,2,False,1,True,1,0.5,0.4848,1.0,0.0896,4,9,13,14.34
3150,2011-05-16,2,0,5,3,False,1,True,1,0.5,0.4848,0.94,0.1642,1,3,4,14.34
3151,2011-05-16,2,0,5,4,False,1,True,1,0.5,0.4848,1.0,0.1343,1,5,6,14.34
3152,2011-05-16,2,0,5,5,False,1,True,1,0.5,0.4848,0.93,0.194,1,20,21,14.34
3153,2011-05-16,2,0,5,6,False,1,True,1,0.52,0.5,0.88,0.1642,11,93,104,14.34
3154,2011-05-16,2,0,5,7,False,1,True,1,0.52,0.5,0.83,0.2836,27,245,272,14.34
3155,2011-05-16,2,0,5,8,False,1,True,1,0.56,0.5303,0.73,0.2985,28,366,394,14.34
3156,2011-05-16,2,0,5,9,False,1,True,1,0.6,0.5909,0.69,0.194,38,156,194,14.34
3157,2011-05-16,2,0,5,10,False,1,True,1,0.62,0.6061,0.65,0.0896,37,75,112,14.34
3158,2011-05-16,2,0,5,11,False,1,True,1,0.64,0.6212,0.57,0.0,56,129,185,14.34
3159,2011-05-16,2,0,5,12,False,1,True,1,0.66,0.6212,0.54,0.0896,72,137,209,14.34
3160,2011-05-16,2,0,5,13,False,1,True,1,0.68,0.6364,0.51,0.0,61,153,214,14.34
3161,2011-05-16,2,0,5,14,False,1,True,1,0.68,0.6364,0.51,0.0,76,117,193,14.34
3162,2011-05-16,2,0,5,15,False,1,True,1,0.72,0.6667,0.51,0.0,55,110,165,14.34
3163,2011-05-16,2,0,5,16,False,1,True,3,0.6,0.5758,0.78,0.2537,45,181,226,14.34
3164,2011-05-16,2,0,5,17,False,1,True,1,0.58,0.5455,0.88,0.2239,47,227,274,14.34
3165,2011-05-16,2,0,5,18,False,1,True,3,0.58,0.5455,0.83,0.194,55,398,453,14.34
3166,2011-05-16,2,0,5,19,False,1,True,1,0.58,0.5455,0.83,0.2537,36,272,308,14.34
3167,2011-05-16,2,0,5,20,False,1,True,1,0.58,0.5455,0.83,0.0,31,167,198,14.34
3168,2011-05-16,2,0,5,21,False,1,True,1,0.58,0.5455,0.83,0.0,28,149,177,14.34
3169,2011-05-16,2,0,5,22,False,1,True,1,0.56,0.5303,0.88,0.0896,22,105,127,14.34
3170,2011-05-16,2,0,5,23,False,1,True,1,0.56,0.5303,0.88,0.0896,18,39,57,14.34
3171,2011-05-17,2,0,5,0,False,2,True,2,0.56,0.5303,0.88,0.0,13,18,31,14.34
3172,2011-05-17,2,0,5,1,False,2,True,3,0.56,0.5303,0.88,0.0,7,6,13,14.34
3173,2011-05-17,2,0,5,2,False,2,True,3,0.56,0.5303,0.88,0.0,4,4,8,14.34
3174,2011-05-17,2,0,5,3,False,2,True,3,0.54,0.5152,0.94,0.2537,1,3,4,14.34
3175,2011-05-17,2,0,5,4,False,2,True,3,0.54,0.5152,0.94,0.2537,2,2,4,14.34
3176,2011-05-17,2,0,5,5,False,2,True,3,0.52,0.5,0.94,0.2537,0,22,22,14.34
3177,2011-05-17,2,0,5,6,False,2,True,3,0.52,0.5,0.94,0.2537,0,49,49,14.34
3178,2011-05-17,2,0,5,7,False,2,True,2,0.52,0.5,0.94,0.2537,13,138,151,14.34
3179,2011-05-17,2,0,5,8,False,2,True,2,0.52,0.5,0.94,0.2985,22,325,347,14.34
3180,2011-05-17,2,0,5,9,False,2,True,2,0.54,0.5152,0.88,0.2537,17,190,207,14.34
3181,2011-05-17,2,0,5,10,False,2,True,3,0.54,0.5152,0.88,0.2537,31,73,104,14.34
3182,2011-05-17,2,0,5,11,False,2,True,2,0.56,0.5303,0.83,0.4179,26,104,130,14.34
3183,2011-05-17,2,0,5,12,False,2,True,3,0.56,0.5303,0.83,0.4179,38,115,153,14.34
3184,2011-05-17,2,0,5,13,False,2,True,2,0.56,0.5303,0.88,0.3284,31,141,172,14.34
3185,2011-05-17,2,0,5,14,False,2,True,1,0.62,0.5909,0.73,0.4627,61,123,184,14.34
3186,2011-05-17,2,0,5,15,False,2,True,1,0.62,0.6061,0.69,0.4478,79,131,210,14.34
3187,2011-05-17,2,0,5,16,False,2,True,1,0.62,0.6061,0.61,0.3284,73,217,290,14.34
3188,2011-05-17,2,0,5,17,False,2,True,1,0.62,0.6061,0.65,0.4179,83,521,604,14.34
3189,2011-05-17,2,0,5,18,False,2,True,1,0.6,0.5909,0.69,0.2985,54,426,480,14.34
3190,2011-05-17,2,0,5,19,False,2,True,1,0.6,0.5909,0.69,0.2537,51,298,349,14.34
3191,2011-05-17,2,0,5,20,False,2,True,1,0.58,0.5455,0.83,0.4179,30,253,283,14.34
3192,2011-05-17,2,0,5,21,False,2,True,1,0.54,0.5152,0.88,0.2537,23,151,174,14.34
3193,2011-05-17,2,0,5,22,False,2,True,2,0.54,0.5152,0.88,0.2836,12,86,98,14.34
3194,2011-05-17,2,0,5,23,False,2,True,2,0.54,0.5152,0.88,0.2537,7,49,56,14.34
3195,2011-05-18,2,0,5,0,False,3,True,2,0.54,0.5152,0.88,0.2239,8,15,23,14.34
3196,2011-05-18,2,0,5,1,False,3,True,2,0.54,0.5152,0.88,0.2537,3,9,12,14.34
3197,2011-05-18,2,0,5,2,False,3,True,3,0.52,0.5,0.94,0.2239,1,5,6,14.34
3198,2011-05-18,2,0,5,3,False,3,True,3,0.52,0.5,0.94,0.2985,6,3,9,14.34
3199,2011-05-18,2,0,5,4,False,3,True,3,0.52,0.5,0.94,0.2985,1,2,3,14.34
3200,2011-05-18,2,0,5,5,False,3,True,1,0.52,0.5,1.0,0.2239,0,9,9,14.34
3201,2011-05-18,2,0,5,6,False,3,True,1,0.52,0.5,1.0,0.1343,2,99,101,14.34
3202,2011-05-18,2,0,5,7,False,3,True,1,0.54,0.5152,0.88,0.194,14,260,274,14.34
3203,2011-05-18,2,0,5,8,False,3,True,1,0.56,0.5303,0.88,0.2836,25,428,453,14.34
3204,2011-05-18,2,0,5,9,False,3,True,3,0.56,0.5303,0.83,0.2537,26,176,202,14.34
3205,2011-05-18,2,0,5,10,False,3,True,3,0.54,0.5152,0.88,0.2836,33,73,106,14.34
3206,2011-05-18,2,0,5,11,False,3,True,2,0.54,0.5152,0.94,0.0896,6,17,23,14.34
3207,2011-05-18,2,0,5,12,False,3,True,1,0.56,0.5303,0.94,0.2985,12,42,54,14.34
3208,2011-05-18,2,0,5,13,False,3,True,2,0.56,0.5303,0.83,0.3284,30,92,122,14.34
3209,2011-05-18,2,0,5,14,False,3,True,2,0.58,0.5455,0.78,0.2836,44,94,138,14.34
3210,2011-05-18,2,0,5,15,False,3,True,1,0.6,0.5758,0.78,0.2537,34,133,167,14.34
3211,2011-05-18,2,0,5,16,False,3,True,1,0.6,0.5909,0.73,0.194,53,241,294,14.34
3212,2011-05-18,2,0,5,17,False,3,True,1,0.6,0.5909,0.69,0.1343,78,487,565,14.34
3213,2011-05-18,2,0,5,18,False,3,True,1,0.6,0.5909,0.73,0.2239,58,431,489,14.34
3214,2011-05-18,2,0,5,19,False,3,True,3,0.56,0.5303,0.88,0.1343,43,288,331,14.34
3215,2011-05-18,2,0,5,20,False,3,True,3,0.56,0.5303,0.88,0.1343,24,189,213,14.34
3216,2011-05-18,2,0,5,21,False,3,True,1,0.52,0.5,0.88,0.0,11,74,85,14.34
3217,2011-05-18,2,0,5,22,False,3,True,1,0.52,0.5,0.83,0.0,14,103,117,14.34
3218,2011-05-18,2,0,5,23,False,3,True,1,0.52,0.5,0.94,0.0896,10,49,59,14.34
3219,2011-05-19,2,0,5,0,False,4,True,1,0.52,0.5,0.94,0.1045,6,23,29,14.34
3220,2011-05-19,2,0,5,1,False,4,True,1,0.5,0.4848,0.94,0.0,2,4,6,14.34
3221,2011-05-19,2,0,5,2,False,4,True,1,0.5,0.4848,0.94,0.0,3,12,15,14.34
3222,2011-05-19,2,0,5,3,False,4,True,1,0.48,0.4697,1.0,0.0,1,3,4,14.34
3223,2011-05-19,2,0,5,4,False,4,True,1,0.48,0.4697,0.94,0.0,2,3,5,14.34
3224,2011-05-19,2,0,5,5,False,4,True,1,0.48,0.4697,0.94,0.0,2,24,26,14.34
3225,2011-05-19,2,0,5,6,False,4,True,2,0.5,0.4848,0.94,0.0,17,86,103,14.34
3226,2011-05-19,2,0,5,7,False,4,True,2,0.5,0.4848,1.0,0.0,18,239,257,14.34
3227,2011-05-19,2,0,5,8,False,4,True,2,0.52,0.5,0.88,0.0,34,453,487,14.34
3228,2011-05-19,2,0,5,9,False,4,True,2,0.54,0.5152,0.88,0.0896,40,176,216,14.34
3229,2011-05-19,2,0,5,10,False,4,True,2,0.54,0.5152,0.83,0.0,35,95,130,14.34
3230,2011-05-19,2,0,5,11,False,4,True,3,0.54,0.5152,0.88,0.1642,53,111,164,14.34
3231,2011-05-19,2,0,5,12,False,4,True,2,0.58,0.5455,0.78,0.1045,38,130,168,14.34
3232,2011-05-19,2,0,5,13,False,4,True,3,0.58,0.5455,0.64,0.2537,44,139,183,14.34
3233,2011-05-19,2,0,5,14,False,4,True,3,0.54,0.5152,0.73,0.194,43,137,180,14.34
3234,2011-05-19,2,0,5,15,False,4,True,1,0.56,0.5303,0.78,0.1642,63,125,188,14.34
3235,2011-05-19,2,0,5,16,False,4,True,1,0.58,0.5455,0.64,0.194,55,247,302,14.34
3236,2011-05-19,2,0,5,17,False,4,True,1,0.56,0.5303,0.78,0.1642,60,487,547,14.34
3237,2011-05-19,2,0,5,18,False,4,True,1,0.6,0.6212,0.55,0.1642,59,454,513,14.34
3238,2011-05-19,2,0,5,19,False,4,True,1,0.58,0.5455,0.6,0.1343,65,345,410,14.34
3239,2011-05-19,2,0,5,20,False,4,True,1,0.54,0.5152,0.77,0.2836,46,236,282,14.34
3240,2011-05-19,2,0,5,21,False,4,True,1,0.54,0.5152,0.77,0.2836,29,180,209,14.34
3241,2011-05-19,2,0,5,22,False,4,True,3,0.5,0.4848,0.82,0.2985,11,68,79,14.34
3242,2011-05-19,2,0,5,23,False,4,True,1,0.48,0.4697,0.94,0.0,9,63,72,14.34
3243,2011-05-20,2,0,5,0,False,5,True,1,0.46,0.4545,0.94,0.0896,15,33,48,14.34
3244,2011-05-20,2,0,5,1,False,5,True,1,0.46,0.4545,1.0,0.0,8,17,25,14.34
3245,2011-05-20,2,0,5,2,False,5,True,1,0.44,0.4394,1.0,0.0896,4,4,8,14.34
3246,2011-05-20,2,0,5,3,False,5,True,1,0.44,0.4394,1.0,0.0,1,4,5,14.34
3247,2011-05-20,2,0,5,4,False,5,True,1,0.44,0.4394,0.94,0.0896,1,4,5,14.34
3248,2011-05-20,2,0,5,5,False,5,True,1,0.44,0.4394,0.94,0.1045,0,28,28,14.34
3249,2011-05-20,2,0,5,6,False,5,True,1,0.46,0.4545,0.88,0.1045,15,102,117,14.34
3250,2011-05-20,2,0,5,7,False,5,True,1,0.5,0.4848,0.77,0.1642,30,289,319,14.34
3251,2011-05-20,2,0,5,8,False,5,True,1,0.54,0.5152,0.68,0.0,41,476,517,14.34
3252,2011-05-20,2,0,5,9,False,5,True,1,0.54,0.5152,0.68,0.2239,35,199,234,14.34
3253,2011-05-20,2,0,5,10,False,5,True,1,0.56,0.5303,0.64,0.194,44,104,148,14.34
3254,2011-05-20,2,0,5,11,False,5,True,2,0.58,0.5455,0.6,0.194,63,133,196,14.34
3255,2011-05-20,2,0,5,12,False,5,True,2,0.6,0.6212,0.56,0.2537,69,186,255,14.34
3256,2011-05-20,2,0,5,13,False,5,True,3,0.6,0.6212,0.56,0.2836,60,172,232,14.34
3257,2011-05-20,2,0,5,14,False,5,True,1,0.62,0.6212,0.53,0.2239,66,131,197,14.34
3258,2011-05-20,2,0,5,15,False,5,True,2,0.6,0.6212,0.56,0.194,74,168,242,14.34
3259,2011-05-20,2,0,5,16,False,5,True,2,0.6,0.6212,0.53,0.1642,61,269,330,14.34
3260,2011-05-20,2,0,5,17,False,5,True,1,0.62,0.6212,0.53,0.0,71,483,554,14.34
